Symbol,best_description,functional_category,pleiotropy_class,master_score,Peak -logP_adipose,Effect Size_adipose,genomic_context_adipose,tier_adipose,Peak -logP_liver,Effect Size_liver,genomic_context_liver,tier_liver,same_direction,peak_distance_mb
Duoxa1,dual oxidase maturation factor 1,other,shared_cis_flip,40.029,20.8,0.348,promoter,Tier_2_Validate,72.9,-1.548,promoter,Tier_1_HighConfidence,False,0.001
Clca2,chloride channel accessory 5,other,tissue_specific,39.86,,,,,118.8,3.703,promoter,Tier_1_HighConfidence,False,
Ugt2b,UDP-glucuronosyltransferase 2B2,lipid_metabolism,tissue_specific,39.82,,,,,109.5,-4.76,proximal,Tier_1_HighConfidence,False,
Bin2a,beta-galactosidase-like protein,other,tissue_specific,39.729,116.9,-2.755,proximal,Tier_1_HighConfidence,,,,,False,
RT1-CE1,"RT1 class I, locus1",other,shared_cis_flip,39.106,81.1,1.009,distal_cis,Tier_1_HighConfidence,23.5,-0.737,proximal,Tier_2_Validate,False,1.992
Sbsn,suprabasin,other,tissue_specific,38.914,133.5,-1.705,promoter,Tier_1_HighConfidence,,,,,False,
Ccdc168,coiled-coil domain containing 168,other,shared_cis_flip,38.076,71.4,0.98,proximal,Tier_1_HighConfidence,22.8,-0.66,proximal,Tier_2_Validate,False,0.753
Uts2b,urotensin 2B,other,tissue_specific,37.733,121.1,2.181,proximal,Tier_1_HighConfidence,,,,,False,
Cyp2d1,"cytochrome P450, family 2, subfamily d, polypeptide 1",other,tissue_specific,37.245,106.1,1.921,promoter,Tier_1_HighConfidence,,,,,False,
Igfn1,immunoglobulin-like and fibronectin type III domain containing 1,immune,tissue_specific,37.233,,,,,92.6,3.601,promoter,Tier_1_HighConfidence,False,
Mlc1,modulator of VRAC current 1,other,tissue_specific,36.36,,,,,98.3,-3.077,promoter,Tier_1_HighConfidence,False,
Mpped1,metallophosphoesterase domain containing 1,other,tissue_specific,36.31,,,,,122.3,-2.242,promoter,Tier_1_HighConfidence,False,
Acnat2,acyl-coenzyme A amino acid N-acyltransferase 2,lipid_metabolism,tissue_specific,36.109,,,,,128.0,-1.972,promoter,Tier_1_HighConfidence,False,
RT1-M1-2,"RT1 class I, locus M1, gene 2",other,tissue_specific,35.776,117.9,-1.783,proximal,Tier_1_HighConfidence,,,,,False,
Alb,albumin,other,tissue_specific,34.975,100.8,-1.495,promoter,Tier_1_HighConfidence,,,,,False,
Cbr1,carbonyl reductase 1,other,tissue_specific,34.868,96.1,1.575,promoter,Tier_1_HighConfidence,,,,,False,
Serpinb1b,"serine (or cysteine) peptidase inhibitor, clade B, member 1b",proteolysis,tissue_specific,34.306,85.1,2.168,proximal,Tier_1_HighConfidence,,,,,False,
Cacna1i,calcium voltage-gated channel subunit alpha1 I,other,tissue_specific,33.567,80.8,-1.607,promoter,Tier_1_HighConfidence,,,,,False,
Adh6,alcohol dehydrogenase 6 (class V),lipid_metabolism,tissue_specific,33.546,,,,,80.4,-3.378,proximal,Tier_1_HighConfidence,False,
Acnat1,acyl-coenzyme A amino acid N-acyltransferase 1,lipid_metabolism,tissue_specific,33.512,,,,,90.5,3.022,proximal,Tier_1_HighConfidence,False,
Tnfrsf11a,zinc finger CCHC-type containing 2,transcription_chromatin,tissue_specific,33.386,,,,,94.3,-2.089,promoter,Tier_1_HighConfidence,False,
Ptprt,"protein tyrosine phosphatase, receptor type, T",signaling,tissue_specific,32.925,,,,,75.3,2.561,promoter,Tier_1_HighConfidence,False,
Cym,chymosin,other,tissue_specific,32.9,96.4,-1.576,proximal,Tier_1_HighConfidence,,,,,False,
Fam163a,"family with sequence similarity 163, member A",other,tissue_specific,32.897,93.7,-1.636,proximal,Tier_1_HighConfidence,,,,,False,
Grifin,galectin-related inter-fiber protein,other,tissue_specific,32.871,93.5,1.154,promoter,Tier_1_HighConfidence,,,,,False,
Slco1a5,"solute carrier organic anion transporter family, member 1A5",other,tissue_specific,32.655,,,,,92.5,-1.874,promoter,Tier_1_HighConfidence,False,
Nupr1,"nuclear protein 1, transcriptional regulator",transcription_chromatin,tissue_specific,32.574,95.3,-1.042,promoter,Tier_1_HighConfidence,,,,,False,
Plaat1,phospholipase A and acyltransferase 1,lipid_metabolism,tissue_specific,32.451,,,,,100.4,-2.284,proximal,Tier_1_HighConfidence,False,
Bco1,beta-carotene oxygenase 1,other,tissue_specific,32.439,,,,,121.7,-1.555,proximal,Tier_1_HighConfidence,False,
Mup4,major urinary protein 4,other,tissue_specific,32.436,,,,,64.1,-4.647,distal_cis,Tier_1_HighConfidence,False,
Scn8a,sodium voltage-gated channel alpha subunit 8,other,tissue_specific,32.42,94.3,-1.508,proximal,Tier_1_HighConfidence,,,,,False,
Folr1,folate receptor alpha,signaling,tissue_specific,32.344,114.8,1.749,distal_cis,Tier_1_HighConfidence,,,,,False,
Calca,calcitonin-related polypeptide alpha,other,tissue_specific,32.032,73.3,1.407,promoter,Tier_1_HighConfidence,,,,,False,
Nqo1,NAD(P)H quinone dehydrogenase 1,lipid_metabolism,tissue_specific,31.496,,,,,93.4,1.405,promoter,Tier_1_HighConfidence,False,
Smim40,small integral membrane protein 40,other,tissue_specific,31.468,,,,,81.6,-1.796,promoter,Tier_1_HighConfidence,False,
RT1-Db2,"RT1 class II, locus Db2",other,tissue_specific,31.448,75.8,1.691,proximal,Tier_1_HighConfidence,,,,,False,
Cdh26,cadherin 26,other,tissue_specific,31.311,94.5,-1.237,proximal,Tier_1_HighConfidence,,,,,False,
Atp6v0d2,ATPase H+ transporting V0 subunit D2,other,tissue_specific,31.21,,,,,77.9,1.824,promoter,Tier_1_HighConfidence,False,
Gucy2e,"guanylate cyclase 2D, retinal",signaling,tissue_specific,31.184,86.8,1.38,proximal,Tier_1_HighConfidence,,,,,False,
Hs3st5,heparan sulfate-glucosamine 3-sulfotransferase 5,lipid_metabolism,tissue_specific,31.071,,,,,103.7,2.784,distal_cis,Tier_1_HighConfidence,False,
Telo2,telomere maintenance 2,other,tissue_specific,30.942,97.9,-1.072,proximal,Tier_1_HighConfidence,,,,,False,
Npy4r,neuropeptide Y receptor Y4,signaling,tissue_specific,30.75,65.8,-1.268,promoter,Tier_1_HighConfidence,,,,,False,
Ttll9,tubulin tyrosine ligase like 9,other,tissue_specific,30.702,,,,,76.7,-1.673,promoter,Tier_1_HighConfidence,False,
Tmem178a,transmembrane protein 178A,other,tissue_specific,30.528,81.6,-0.859,promoter,Tier_1_HighConfidence,,,,,False,
Spmap2l,sperm microtubule associated protein 2 like,other,tissue_specific,30.501,68.6,-1.145,promoter,Tier_1_HighConfidence,,,,,False,
Hist2h2aa2,histone cluster 2 H2A family member A2,transcription_chromatin,tissue_specific,30.317,47.0,1.587,promoter,Tier_1_HighConfidence,,,,,False,
Anxa5,annexin A5,other,tissue_specific,30.313,,,,,104.9,-1.323,proximal,Tier_1_HighConfidence,False,
Albfm1,albumin superfamily member 1,other,tissue_specific,30.306,65.5,-1.168,promoter,Tier_1_HighConfidence,,,,,False,
Rgs22,regulator of G-protein signaling 22,other,tissue_specific,30.239,90.3,-1.074,proximal,Tier_1_HighConfidence,,,,,False,
Dsg1,desmoglein 1,other,tissue_specific,30.166,,,,,77.5,-2.199,proximal,Tier_1_HighConfidence,False,
Naalad2,N-acetylated alpha-linked acidic dipeptidase 2,proteolysis,tissue_specific,29.864,98.7,-0.795,proximal,Tier_1_HighConfidence,,,,,False,
Ms4a12,membrane spanning 4-domains A12,other,tissue_specific,29.843,58.6,-1.212,promoter,Tier_1_HighConfidence,,,,,False,
Igsf9b,"immunoglobulin superfamily, member 9B",immune,tissue_specific,29.803,78.5,1.235,proximal,Tier_1_HighConfidence,,,,,False,
Tmsb10,"thymosin, beta 10",other,tissue_specific,29.796,98.9,-0.774,proximal,Tier_1_HighConfidence,,,,,False,
Micb,MHC class I polypeptide-related sequence B,other,tissue_specific,29.784,99.4,0.76,proximal,Tier_1_HighConfidence,,,,,False,
Csmd2,CUB and Sushi multiple domains 2,other,tissue_specific,29.531,72.4,1.307,proximal,Tier_1_HighConfidence,,,,,False,
Acadsb,"acyl-CoA dehydrogenase, short/branched chain",lipid_metabolism,tissue_specific,29.415,99.1,0.678,proximal,Tier_1_HighConfidence,,,,,False,
Serpina12,serpin family A member 12,other,tissue_specific,29.001,52.3,-1.632,proximal,Tier_1_HighConfidence,,,,,False,
Krtcap3,keratinocyte associated protein 3,other,tissue_specific,28.934,,,,,66.6,1.348,promoter,Tier_1_HighConfidence,False,
Slc2a12,solute carrier family 2 member 12,other,tissue_specific,28.93,,,,,76.0,-1.027,promoter,Tier_1_HighConfidence,False,
Unc5a,unc-5 netrin receptor A,signaling,tissue_specific,28.912,72.9,1.147,proximal,Tier_1_HighConfidence,,,,,False,
Lcn3,lipocalin 3,other,tissue_specific,28.795,,,,,63.3,2.164,proximal,Tier_1_HighConfidence,False,
Pira12,paired-Ig-like receptor A12,signaling,tissue_specific,28.673,75.9,1.022,proximal,Tier_1_HighConfidence,,,,,False,
Meiob,meiosis specific with OB-fold,other,tissue_specific,28.545,,,,,59.4,-1.446,promoter,Tier_1_HighConfidence,False,
Tmem106c,transmembrane protein 106C,other,tissue_specific,28.477,91.4,-0.626,proximal,Tier_1_HighConfidence,,,,,False,
Cd300ld,Cd300 molecule-like family member D,other,tissue_specific,28.419,65.2,-1.202,proximal,Tier_1_HighConfidence,,,,,False,
Slc7a7,solute carrier family 7 member 7,other,tissue_specific,28.385,89.0,0.658,proximal,Tier_1_HighConfidence,,,,,False,
Agmo,alkylglycerol monooxygenase,other,tissue_specific,28.262,84.0,0.741,proximal,Tier_1_HighConfidence,,,,,False,
Aox2,aldehyde oxidase 2,other,tissue_specific,28.242,,,,,63.0,1.965,proximal,Tier_1_HighConfidence,False,
